,vi,uH,vni,vniH,vps,vpsH,viscii,visciiH,tcvn3,tcvn3H,viqr,name,koDau,spec,tone,koDauT
1,À,U+00C0,AØ,41 D8,€,80,À,C0,Aµ,41 B5,A`,LATIN CAPITAL LETTER A WITH GRAVE,A,,GRAVE,A
2,Á,U+00C1,AÙ,41 D9,Á,C1,Á,C1,A¸,41 B8,A',LATIN CAPITAL LETTER A WITH ACUTE,A,,ACUTE,A
3,Â,U+00C2,AÂ,41 C2,Â,C2,Â,C2,¢,A2,A^,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,A,CIRCUMFLEX,,Â
4,Ã,U+00C3,AÕ,41 D5,‚,82,Ã,C3,A·,41 B7,A~,LATIN CAPITAL LETTER A WITH TILDE,A,,TILDE,A
5,È,U+00C8,EØ,45 D8,×,D7,È,C8,EÌ,45 CC,E`,LATIN CAPITAL LETTER E WITH GRAVE,E,,GRAVE,E
6,É,U+00C9,EÙ,45 D9,É,C9,É,C9,EÐ,45 D0,E',LATIN CAPITAL LETTER E WITH ACUTE,E,,ACUTE,E
7,Ê,U+00CA,EÂ,45 C2,Ê,CA,Ê,CA,£,A3,E^,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,E,CIRCUMFLEX,,Ê
8,Ì,U+00CC,Ì,CC,µ,B5,Ì,CC,I×,49 D7,I`,LATIN CAPITAL LETTER I WITH GRAVE,I,,GRAVE,I
9,Í,U+00CD,Í,CD,´,B4,Í,CD,IÝ,49 DD,I',LATIN CAPITAL LETTER I WITH ACUTE,I,,ACUTE,I
10,Ò,U+00D2,OØ,4F D8,¼,BC,Ò,D2,Oß,4F DF,O`,LATIN CAPITAL LETTER O WITH GRAVE,O,,GRAVE,O
11,Ó,U+00D3,OÙ,4F D9,¹,B9,Ó,D3,Oã,4F E3,O',LATIN CAPITAL LETTER O WITH ACUTE,O,,ACUTE,O
12,Ô,U+00D4,OÂ,4F C2,Ô,D4,Ô,D4,¤,A4,O^,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,O,CIRCUMFLEX,,Ô
13,Õ,U+00D5,OÕ,4F D5,¾,BE,,A0,Oâ,4F E2,O~,LATIN CAPITAL LETTER O WITH TILDE,O,,TILDE,O
14,Ù,U+00D9,UØ,55 D8,¨,A8,Ù,D9,Uï,55 EF,U`,LATIN CAPITAL LETTER U WITH GRAVE,U,,GRAVE,U
15,Ú,U+00DA,UÙ,55 D9,Ú,DA,Ú,DA,Uó,55 F3,U',LATIN CAPITAL LETTER U WITH ACUTE,U,,ACUTE,U
16,Ý,U+00DD,YÙ,59 D9,Ý,DD,Ý,DD,Yý,59 FD,Y',LATIN CAPITAL LETTER Y WITH ACUTE,Y,,ACUTE,Y
17,à,U+00E0,aø,61 F8,à,E0,à,E0,µ,B5,a`,LATIN SMALL LETTER A WITH GRAVE,a,,GRAVE,a
18,á,U+00E1,aù,61 F9,á,E1,á,E1,¸,B8,a',LATIN SMALL LETTER A WITH ACUTE,a,,ACUTE,a
19,â,U+00E2,aâ,61 E2,â,E2,â,E2,©,A9,a^,LATIN SMALL LETTER A WITH CIRCUMFLEX,a,CIRCUMFLEX,,â
20,ã,U+00E3,aõ,61 F5,ã,E3,ã,E3,·,B7,a~,LATIN SMALL LETTER A WITH TILDE,a,,TILDE,a
21,è,U+00E8,eø,65 F8,è,E8,è,E8,Ì,CC,e`,LATIN SMALL LETTER E WITH GRAVE,e,,GRAVE,e
22,é,U+00E9,eù,65 F9,é,E9,é,E9,Ð,D0,e',LATIN SMALL LETTER E WITH ACUTE,e,,ACUTE,e
23,ê,U+00EA,eâ,65 E2,ê,EA,ê,EA,ª,AA,e^,LATIN SMALL LETTER E WITH CIRCUMFLEX,e,CIRCUMFLEX,,ê
24,ì,U+00EC,ì,EC,ì,EC,ì,EC,×,D7,i`,LATIN SMALL LETTER I WITH GRAVE,i,,GRAVE,i
25,í,U+00ED,í,ED,í,ED,í,ED,Ý,DD,i',LATIN SMALL LETTER I WITH ACUTE,i,,ACUTE,i
26,ò,U+00F2,oø,6F F8,ò,F2,ò,F2,ß,DF,o`,LATIN SMALL LETTER O WITH GRAVE,o,,GRAVE,o
27,ó,U+00F3,où,6F F9,ó,F3,ó,F3,ã,E3,o',LATIN SMALL LETTER O WITH ACUTE,o,,ACUTE,o
28,ô,U+00F4,oâ,6F E2,ô,F4,ô,F4,«,AB,o^,LATIN SMALL LETTER O WITH CIRCUMFLEX,o,CIRCUMFLEX,,ô
29,õ,U+00F5,oõ,6F F5,õ,F5,õ,F5,â,E2,o~,LATIN SMALL LETTER O WITH TILDE,o,,TILDE,o
30,ù,U+00F9,uø,75 F8,ù,F9,ù,F9,ï,EF,u`,LATIN SMALL LETTER U WITH GRAVE,u,,GRAVE,u
31,ú,U+00FA,uù,75 F9,ú,FA,ú,FA,ó,F3,u',LATIN SMALL LETTER U WITH ACUTE,u,,ACUTE,u
32,ý,U+00FD,yù,79 F9,š,9A,ý,FD,ý,FD,y',LATIN SMALL LETTER Y WITH ACUTE,y,,ACUTE,y
33,Ă,U+0102,AÊ,41 CA,ˆ,88,Å,C5,¡,A1,A(,LATIN CAPITAL LETTER A WITH BREVE,A,BREVE,,Ă
34,ă,U+0103,aê,61 EA,æ,E6,å,E5,¨,A8,a(,LATIN SMALL LETTER A WITH BREVE,a,BREVE,,ă
35,Đ,U+0110,Ñ,D1,ñ,F1,Ð,D0,§,A7,DD,LATIN CAPITAL LETTER D WITH STROKE,D,STROKE,,Đ
